STDR_YM_CD,RD_LINK_ID,SIGNGU_CD,ADSTRD_CD,DAYWEEK_CD,AGRDE_CD,TMZON_CD,FLPOP_CO
201507,122917,11560,11560540,1,10,00,22
201507,122917,11560,11560540,1,10,01,0
201507,122917,11560,11560540,1,10,02,1
201507,122917,11560,11560540,1,10,03,3
201507,122917,11560,11560540,1,10,04,4
201507,122917,11560,11560540,1,10,05,10
201507,122917,11560,11560540,1,10,06,5
201507,122917,11560,11560540,1,20,00,191
201507,122917,11560,11560540,1,20,01,3
201507,122917,11560,11560540,1,20,02,25
201507,122917,11560,11560540,1,20,03,36
201507,122917,11560,11560540,1,20,04,39
201507,122917,11560,11560540,1,20,05,61
201507,122917,11560,11560540,1,20,06,26
201507,122917,11560,11560540,1,30,00,433
201507,122917,11560,11560540,1,30,01,5
201507,122917,11560,11560540,1,30,02,72
201507,122917,11560,11560540,1,30,03,97
201507,122917,11560,11560540,1,30,04,106
201507,122917,11560,11560540,1,30,05,122
201507,122917,11560,11560540,1,30,06,31
201507,122917,11560,11560540,1,40,00,413
201507,122917,11560,11560540,1,40,01,5
201507,122917,11560,11560540,1,40,02,71
201507,122917,11560,11560540,1,40,03,95
201507,122917,11560,11560540,1,40,04,108
201507,122917,11560,11560540,1,40,05,108
201507,122917,11560,11560540,1,40,06,25
201507,122917,11560,11560540,1,50,00,269
201507,122917,11560,11560540,1,50,01,3
201507,122917,11560,11560540,1,50,02,51
201507,122917,11560,11560540,1,50,03,65
201507,122917,11560,11560540,1,50,04,69
201507,122917,11560,11560540,1,50,05,64
201507,122917,11560,11560540,1,50,06,18
201507,122917,11560,11560540,1,60,00,119
201507,122917,11560,11560540,1,60,01,1
201507,122917,11560,11560540,1,60,02,24
201507,122917,11560,11560540,1,60,03,32
201507,122917,11560,11560540,1,60,04,31
201507,122917,11560,11560540,1,60,05,24
201507,122917,11560,11560540,1,60,06,7
201507,122917,11560,11560540,2,00,00,755
201507,122917,11560,11560540,2,00,01,21
201507,122917,11560,11560540,2,00,02,125
201507,122917,11560,11560540,2,00,03,182
201507,122917,11560,11560540,2,00,04,190
201507,122917,11560,11560540,2,00,05,179
201507,122917,11560,11560540,2,00,06,58
201507,122917,11560,11560540,2,10,00,45
201507,122917,11560,11560540,2,10,01,1
201507,122917,11560,11560540,2,10,02,5
201507,122917,11560,11560540,2,10,03,10
201507,122917,11560,11560540,2,10,04,10
201507,122917,11560,11560540,2,10,05,14
201507,122917,11560,11560540,2,10,06,5
